cpu_num,width,height,time
2,35000,10000,0.618397
2,35000,10000,0.618183
2,35000,10000,0.623354
2,35000,10000,0.643491
2,35000,10000,0.635385
2,35000,10000,0.631795
2,35000,10000,0.632233
2,35000,10000,0.639207
2,35000,10000,0.638829
2,40000,10000,0.709973
2,40000,10000,0.725183
2,40000,10000,0.712907
2,40000,10000,0.721427
2,40000,10000,0.720044
2,40000,10000,0.739098
2,40000,10000,0.704889
2,40000,10000,0.704609
2,40000,10000,0.733709
2,40000,10000,0.722817
2,45000,10000,0.813365
2,45000,10000,0.827024
2,45000,10000,0.821291
2,45000,10000,0.808339
2,45000,10000,0.810573
2,45000,10000,1.011274
2,45000,10000,0.817660
2,45000,10000,0.823162
2,45000,10000,0.846144
2,45000,10000,0.820291
2,50000,10000,0.901225
2,50000,10000,0.924801
2,50000,10000,0.889152
2,50000,10000,0.904202
2,50000,10000,0.916343
2,50000,10000,0.894597
2,50000,10000,0.891249
2,50000,10000,0.918660
2,50000,10000,0.883010
2,50000,10000,0.882566
3,1000,10000,0.027048
3,1000,10000,0.019634
3,1000,10000,0.019939
3,1000,10000,0.019578
3,1000,10000,0.018676
3,1000,10000,0.019589
3,1000,10000,0.020105
3,1000,10000,0.018537
3,1000,10000,0.034969
3,1000,10000,0.019091
3,5000,10000,0.106742
3,5000,10000,0.081574
3,5000,10000,0.086616
3,5000,10000,0.095661
3,5000,10000,0.089585
3,5000,10000,0.086282
3,5000,10000,0.082566
3,5000,10000,0.091389
3,5000,10000,0.098055
3,5000,10000,0.104019
3,10000,10000,0.171990
3,10000,10000,0.177136
3,10000,10000,0.168238
3,10000,10000,0.165081
3,10000,10000,0.152819
3,10000,10000,0.165355
3,10000,10000,0.162702
3,10000,10000,0.163177
3,10000,10000,0.154520
3,10000,10000,0.167020
3,15000,10000,0.230825
3,15000,10000,0.212946
3,15000,10000,0.221551
3,15000,10000,0.221763
3,15000,10000,0.217653
3,15000,10000,0.218612
3,15000,10000,0.226618
3,15000,10000,0.225070
3,15000,10000,0.217453
3,15000,10000,0.224206
3,20000,10000,0.278003
3,20000,10000,0.279291
3,20000,10000,0.298554
3,20000,10000,0.277073
3,20000,10000,0.279436
3,20000,10000,0.283991
3,20000,10000,0.282230
3,20000,10000,0.292264
3,20000,10000,0.312757
3,20000,10000,0.287287
3,25000,10000,0.336277
3,25000,10000,0.357617
3,25000,10000,0.354742
3,25000,10000,0.359103
3,25000,10000,0.325115
3,25000,10000,0.352292
3,25000,10000,0.362430
3,25000,10000,0.353669
3,25000,10000,0.347192
3,25000,10000,0.368723
3,30000,10000,0.427987
3,30000,10000,0.393633
3,30000,10000,0.420654
3,30000,10000,0.403821
3,30000,10000,0.417696
3,30000,10000,0.404759
3,30000,10000,0.402643
3,30000,10000,0.399158
3,30000,10000,0.415761
3,30000,10000,0.429536
3,35000,10000,0.484742
3,35000,10000,0.490725
3,35000,10000,0.501446
3,35000,10000,0.493386
3,35000,10000,0.504639
3,35000,10000,0.444708
3,35000,10000,0.499922
3,35000,10000,0.601969
3,35000,10000,0.486048
3,35000,10000,0.482153
3,40000,10000,0.522498
3,40000,10000,0.524472
3,40000,10000,0.546476
3,40000,10000,0.536212
3,40000,10000,0.540890
3,40000,10000,0.529823
3,40000,10000,0.592882
3,40000,10000,0.531937
3,40000,10000,0.534656
3,40000,10000,0.543690
3,45000,10000,0.603444
3,45000,10000,0.612016
3,45000,10000,0.616650
3,45000,10000,0.607382
3,45000,10000,0.664064
3,45000,10000,0.653499
3,45000,10000,0.606547
3,45000,10000,0.613392
3,45000,10000,0.628475
3,45000,10000,0.603784
3,50000,10000,0.659328
3,50000,10000,0.690887
3,50000,10000,0.685299
3,50000,10000,0.656473
3,50000,10000,0.697418
3,50000,10000,0.699755
3,50000,10000,0.714538
3,50000,10000,0.693860
3,50000,10000,0.708616
3,50000,10000,0.701926
4,1000,10000,0.016488
4,1000,10000,0.024671
4,1000,10000,0.019356
4,1000,10000,0.016391
4,1000,10000,0.024988
4,1000,10000,0.016628
4,1000,10000,0.016789
4,1000,10000,0.018384
4,1000,10000,0.018494
4,1000,10000,0.019506
4,5000,10000,0.085476
4,5000,10000,0.094825
4,5000,10000,0.091029
4,5000,10000,0.095907
4,5000,10000,0.084425
4,5000,10000,0.080308
4,5000,10000,0.088062
4,5000,10000,0.083905
4,5000,10000,0.078600
4,5000,10000,0.079067
4,10000,10000,0.149943
4,10000,10000,0.147352
4,10000,10000,0.150762
4,10000,10000,0.141017
4,10000,10000,0.130451
4,10000,10000,0.144724
4,10000,10000,0.161937
4,10000,10000,0.164489
4,10000,10000,0.151248
4,10000,10000,0.147731
4,15000,10000,0.195863
4,15000,10000,0.193332
4,15000,10000,0.197863
4,15000,10000,0.191492
4,15000,10000,0.218467
4,15000,10000,0.208445
4,15000,10000,0.194384
4,15000,10000,0.195416
